"콘텐츠 ID
","사용유무
",화장실명,"서브카테고리 명
","시군
","구명
","새주소[도로명 주소]
",지번주소,키워드,"다국어
",경도,위도,"공간객체타입
","라인 색상
","라인 패턴
","라인두께
","전화번호
","웹URL
","동영상 웹 링크 URL
","음성파일 웹 링크 URL
","사진 정보1[URL or 파일명]
","사진 정보2[URL or 파일명]
","사진 정보3[URL or 파일명]
","사진 정보4[URL or 파일명]
","사진 정보5[URL or 파일명]
","상세 제목1
","상세 내용1
","상세 제목2
","상세 내용2
","상세 제목3
","상세 내용3
","상세 제목4
","상세 내용4
","상세 제목5
","상세 내용5
","상세 제목6
","상세 내용6
","상세 제목7
","상세 내용7
","상세 제목8
","상세 내용8
","상세 제목9
","상세 내용9
","상세 제목10
","상세 내용10
","상세 제목11
","상세 내용11
","상세 제목12
","상세 내용12
","상세 제목13
","상세 내용13
","상세 제목14
","상세 내용14
","상세 제목15
","상세 내용15
","상세 제목16
","상세 내용16
","상세 제목17
","상세 내용17
","상세 제목18
","상세 내용18
","상세 제목19
","상세 내용19
","상세 제목20
","상세 내용20
","시계열 시작 일자
","시계열 종료 일자
"
restsa10_0030,Y,고속터미널역 화장실(3번출구),정시,,서초구,신반포로 지하188,서초구 반포동,,KOR,127.003822219,37.504898855,1,#0000FF,L,,02-901-0923,,,,,,,,,유형,공공개방,개방시간,"평일 5:35~00:53
토요일 5:36~23:54
일요일 5:36~23:54",소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0029,Y,신반포역 화장실(9호선),정시,,서초구,신반포로 지하105,서초구 반포동,,KOR,126.995882142,37.503410635,1,#0000FF,L,,02-901-0922,,,,,,,,,유형,공공개방,개방시간,"평일 05:34~00:53
토요일 05:33~23:56
일요일 05:33~23:56",소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0028,Y,구반포역 화장실(9호선),정시,,서초구,신반포로 지하17,서초구 반포동,,KOR,126.987356661,37.501445966,1,#0000FF,L,,02-901-0921,,,,,,,,,유형,공공개방,개방시간,"평일 05:43~00:44
토요일 및 일요일 05:44~23:58",소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0027,Y,동작역 화장실(북쪽),정시,,동작구,현충로 지하220,동작구 동작동,,KOR,126.977919156,37.503062091,1,#0000FF,L,0,02-901-0920,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0026,Y,동작역 화장실(남쪽),정시,,동작구,현충로 지하220,동작구 동작동,,KOR,126.977919156,37.503062091,1,#0000FF,L,0,02-901-0920,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0025,Y,신논현역 화장실,정시,,강남구,봉은사로 지하102,강남구 역삼동,,KOR,127.025015120,37.504633176,1,#0000FF,L,0,02-901-0925,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0024,Y,노들역 화장실(9호선),정시,,동작구,노량진로 지하238,동작구 본동,,KOR,126.953045760,37.512776182,1,#0000FF,L,0,02-901-0918,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0023,Y,9호선노량진역 화장실(B1 외측),정시,,동작구,노량진로 지하130,동작구 노량진동,,KOR,126.940808808,37.513571444,1,#0000FF,L,0,02-901-0917,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0022,Y,9호선노량진역 화장실(B1 우),정시,,동작구,노량진로 지하130,동작구 노량진동,,KOR,126.940808808,37.513571444,1,#0000FF,L,0,02-901-0917,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0021,Y,9호선노량진역 화장실(B1 좌),정시,,동작구,노량진로 지하130,동작구 노량진동,,KOR,126.940808808,37.513571444,1,#0000FF,L,0,02-901-0917,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0020,Y,샛강역 화장실(9호선),정시,,영등포구,의사당대로 지하166,영등포구 여의도동,,KOR,126.929061140,37.516625517,1,#0000FF,L,0,02-901-0916,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0019,Y,9호선여의도역 화장실(외부),정시,,영등포구,의사당대로 지하101,영등포구 여의도동,,KOR,126.923952255,37.521903572,1,#0000FF,L,0,02-901-0915,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0018,Y,9호선여의도역 화장실(내부),정시,,영등포구,의사당대로 지하101,영등포구 여의도동,,KOR,126.923952255,37.521903572,1,#0000FF,L,0,02-901-0915,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0017,Y,9호선국회의사당역 화장실(외부),정시,,영등포구,국회대로 지하758,영등포구 여의도동,,KOR,126.917867075,37.528062387,1,#0000FF,L,0,02-901-0914,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0016,Y,9호선국회의사당역 화장실(내부),정시,,영등포구,국회대로 지하758,영등포구 여의도동,,KOR,126.917867075,37.528062387,1,#0000FF,L,0,02-901-0914,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0015,Y,9호선당산역 화장실(B2층),정시,,영등포구,양평로 지하40,영등포구 여의도동,,KOR,126.902153703,37.533737042,1,#0000FF,L,0,02-901-0913,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0014,Y,9호선당산역 화장실(B1층),정시,,영등포구,양평로 지하40,영등포구 여의도동,,KOR,126.902153703,37.533737042,1,#0000FF,L,0,02-901-0913,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0013,Y,선유도역 화장실(9호선),정시,,영등포구,양평로 지하124,영등포구 당산동,,KOR,126.893402287,37.538127750,1,#0000FF,L,0,02-901-0912,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0012,Y,신목동역 화장실(9호선),정시,,양천구,목동중앙로 지하217,양천구 양평동,,KOR,126.882735515,37.544487744,1,#0000FF,L,0,02-901-0911,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0011,Y,염창역 화장실(9호선),정시,,강서구,공항대로 지하631,강서구 목동,,KOR,126.874989225,37.547056872,1,#0000FF,L,0,02-901-0910,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0010,Y,등촌역 화장실(9호선),정시,,강서구,공항대로 지하529,강서구 염창동,,KOR,126.864933889,37.551114596,1,#0000FF,L,0,02-901-0909,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0009,Y,증미역 화장실(9호선),정시,,강서구,양천로 지하560,강서구 등촌동,,KOR,126.861233928,37.557716881,1,#0000FF,L,0,02-901-0908,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0008,Y,가양역 화장실(9호선),정시,,강서구,양천로 지하485,강서구 가양동,,KOR,126.854373944,37.561550324,1,#0000FF,L,0,02-901-0907,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0007,Y,양천향교역 화장실(9호선),정시,,강서구,양천로 지하341,강서구 가양동,,KOR,126.840804132,37.568758767,1,#0000FF,L,0,02-901-0906,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2, 비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0006,Y,마곡나루역 화장실(9호선),정시,,강서구,마곡중앙5로 지하2,강서구 마곡동 367-6,,KOR,126.827157200,37.566745400,1,#0000ff,L,0,02-901-0905,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0005,Y,신방화역 화장실(9호선),정시,,강서구,방화대로 지하301,강서구 방화동,,KOR,126.816509319,37.567680001,1,#0000FF,L,0,02-901-0904,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0004,Y,공항시장역 화장실(9호선),정시,,강서구,방화동로 지하30,강서구 공항동,,KOR,126.810477085,37.563552956,1,#0000FF,L,0,02-901-0903,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0003,Y,김포공항역 화장실(9호선외측),정시,,강서구,하늘길 지하77,강서구 방화동,,KOR,126.801554031,37.562142428,1,#0000FF,L,0,02-901-0902,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0002,Y,김포공항역 화장실(9호선내측),정시,,강서구,하늘길 지하77,강서구 방화동,,KOR,126.801554031,37.562142428,1,#0000FF,L,0,02-901-0902,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa10_0001,Y,개화역 화장실(9호선),정시,,강서구,개화동로8길 38,강서구 개화동,,KOR,126.796621859,37.580969612,1,#0000FF,L,0,02-2656-0901,,,,,,,,,유형,공공개방,개방시간,상시(연중 개방),소재지 용도,지하철,장애인화장실,"남1, 여1",편의시설,"손건조기2,비상벨13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로9호선,02-2656-0614,,
restsa09_0138,Y,남태령역,정시,,서초구,과천대로 지하 816,서초구 방배동,,KOR,126.988638026,37.464853208,1,#0000FF,L,,02-6110-4341,,,,,,,,,유형,공공개방,개방시간,"평일 05:30~00:57
토요일 및 공휴일 05:30~00:03",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대2유아용보호의자2비상벨5손건조기2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0137,Y,사당(4)역,정시,,동작구,동작대로 지하3,동작구 사당동 588-44,,KOR,126.981575495,37.476859029,1,#0000ff,L,0,02-6110-4331,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,공용1,편의시설,기저귀교환대1유아용보호의자1비상벨10손건조기3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0136,Y,사당(4)역,정시,,동작구,동작대로 지하3,동작구 사당동 588-44,,KOR,126.981575495,37.476859029,1,#0000ff,L,0,02-6110-4331,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대3유아용보호의자3비상벨12손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0135,Y,사당(4)역,정시,,동작구,동작대로 지하3,동작구 사당동 588-44,,KOR,126.981575495,37.476859029,1,#0000ff,L,0,02-6110-4331,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대3유아용보호의자4비상벨8손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0134,Y,총신대입구역,정시,,동작구,동작대로 지하117,동작구 사당동 134-1,,KOR,126.982155251,37.487550846,1,#0000FF,L,0,02-6110-1460,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,공용1,편의시설,기저귀교환대3유아용보호의자2비상벨4손건조기3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0133,Y,동작역,정시,,동작구,현충로 257,동작구 동작동,,KOR,126.980250767,37.502865329,1,#0000FF,L,0,02-6110-4311,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대2유아용보호의자2비상벨19손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0132,Y,이촌역,정시,,용산구,서빙고로 지하 83,용산구 용산동5가 17-32,,KOR,126.973666943,37.522513030,1,#0000FF,L,0,02-6110-4301,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대4유아용보호의자4비상벨14손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0131,Y,신용산역,정시,,용산구,한강대로 지하 112,용산구 한강로2가 174-4,,KOR,126.968752684,37.529713241,1,#0000FF,L,0,02-6110-4291,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,공용1,편의시설,기저귀교환대1유아용보호의자0비상벨8손건조기3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0130,Y,삼각지역,정시,,용산구,한강대로 180 지하 1층,용산구 한강로1가 278-2,,KOR,126.972995749,37.534587554,1,#0000FF,L,0,02-6110-4281,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대4유아용보호의자4비상벨11손건조기4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0129,Y,숙대입구역,정시,,용산구,한강대로 지하 306,용산구 갈월동 68,,KOR,126.972213746,37.545500398,1,#0000FF,L,0,02-6110-4271,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대3유아용보호의자0비상벨14손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0128,Y,서울(4)역,정시,,용산구,한강대로 지하 392,용산구 동자동 14-149,,KOR,126.972786544,37.553194025,1,#0000FF,L,0,02-6110-4261,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,공용1,편의시설,기저귀교환대1유아용보호의자1비상벨4손건조기2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0127,Y,회현역,정시,,중구,퇴계로 지하 54,중구 남창동 123-1,,KOR,126.978222587,37.558528015,1,#0000FF,L,0,02-6110-4251,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대4유아용보호의자2비상벨12손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0126,Y,명동역,정시,,중구,퇴계로 지하 126,중구 충무로2가,,KOR,126.985932125,37.560902708,1,#0000ff,L,0,02-6110-4241,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,공용1,편의시설,기저귀교환대1유아용보호의자1비상벨10손건조기4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0125,Y,충무로역,정시,,중구,퇴계로 199 지하 1층,중구 필동2가 16-27,,KOR,126.994094126,37.561165789,1,#0000FF,L,0,02-6110-4231,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대1유아용보호의자1비상벨20손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
restsa09_0124,Y,동대문역사문화공원(4)역,정시,,중구,장충단로 지하 230,중구 을지로7가 99-5,,KOR,127.007536704,37.565071640,1,#0000FF,L,0,02-6110-4221,,,,,,,,,유형,공공개방,개방시간,"정시
(영업시작~종료)",소재지 용도,지하철,장애인화장실,"남1,여1",편의시설,기저귀교환대4유아용보호의자2비상벨14손건조기6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화장실관련정보 문의:서울메트로 영업관리처,02-6110-5569,,
