구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실여부,설치여부,기저귀교환대장소,리모델링연월,데이터기준일자
공중화장실,대한골프클럽,경기도 고양시 일산동구 성현로659번길 224,경기도 고양시 일산동구 성현로659번길 224 (사리현동),N,14,27,0,0,0,0,24,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6959366456,126.8453993062,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,클린파크주유소,경기도 고양시 일산동구 성현로 78,"경기도 고양시 일산동구 성현로 78 (성석동, 클린파크주유소)",N,1,1,0,0,0,0,1,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.7068840426,126.7947512307,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,진 골프장,경기도 고양시 일산동구 성현로 495,경기도 고양시 일산동구 성현로 495 (사리현동),N,7,7,0,0,0,0,8,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6981004922,126.8374512910,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,진골프클럽,경기도 고양시 일산동구 성현로 495,경기도 고양시 일산동구 성현로 495 (사리현동),N,12,16,0,0,0,0,17,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6981004922,126.8374512910,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,동일산주유소,경기도 고양시 일산동구 성현로 469,"경기도 고양시 일산동구 성현로 469 (사리현동, 동일산주유소)",N,3,3,0,0,0,0,3,0,0,일산동구청 환경녹지과,031-8075-6043,:~:,,37.6983359855,126.8344545468,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,영 에버 골프연습장,경기도 고양시 일산동구 성석로 62,"경기도 고양시 일산동구 성석로 62 (중산동, 영 에버 골프연습장)",N,3,5,0,0,0,0,4,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6849347479,126.7928836576,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,양우드라마시티,,"경기도 고양시 일산동구 백마로213번길 36 (장항동, 양우드라마시티)",N,2,2,0,0,0,0,1,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6559911114,126.7732506735,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,청용오일뱅크,경기도 고양시 일산동구 백마로 590,경기도 고양시 일산동구 백마로 590 (식사동),N,1,2,0,0,0,0,1,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6659026306,126.8133600082,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,풍림주유소,경기도 고양시 일산동구 백마로 522,경기도 고양시 일산동구 백마로 522 (풍동),N,2,2,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6632810506,126.8058783941,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,현대 에뜨레보,,"경기도 고양시 일산동구 백마로 223 (장항동, 현대 에뜨레보)",N,14,11,0,0,0,0,10,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6550432318,126.7744729433,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,내리문화공원(주차장),경기도 평택시 팽성읍 내리길 64-23,경기도 평택시 팽성읍 내리 산3-3,N,2,3,1,1,0,0,5,1,0,평택시 공원과,,24시간,,36.9752514145,127.0325552811,N,N,N,N,N,N,N,N,,2021-12-31
공중화장실,내트럭㈜평택사업소,경기도 평택시 포승읍 하만호길 229,경기도 평택시 포승읍 하만호길 229,N,3,4,0,0,0,0,3,0,0,내트럭㈜평택사업소,,24시간,,36.9543637942,126.8502396842,N,N,N,N,N,N,N,N,,2021-12-31
공중화장실,노래하는분수대,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 호수로 595,N,4,14,1,1,0,0,16,1,2,고양도시관리공사,031-924-5822,24시간,,37.6537546960,126.7686925095,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,일산소방서,경기도 고양시 일산동구 중앙로 1325,경기도 고양시 일산동구 중앙로 1325,N,6,10,3,1,0,0,2,3,0,일산소방서,,24시간,,37.6632693342,126.7696082525,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,노와이주단지 체육공원,경기도 평택시 팽성읍 대추안길 5-1,경기도 평택시 팽성읍 노와리 456,N,1,2,0,0,0,0,3,0,0,평택시 공원과,,24시간,,36.9469870277,127.0899729083,N,N,N,N,N,N,N,N,,2021-12-31
공중화장실,백마역,경기도 고양시 일산동구 경의로 318,"경기도 고양시 일산동구 경의로 318 (백석동, 백마역)",N,4,8,1,0,0,0,12,1,0,한국철도공사,,05:00~00:00,,37.6584091855,126.7944504435,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,풍산역,경기도 고양시 일산동구 경의로 486,"경기도 고양시 일산동구 경의로 486 (풍동, 풍산역)",N,4,8,1,0,0,1,12,1,0,한국철도공사,,05:00~00:00,,37.6723046673,126.7864720493,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,백석역,경기도 고양시 일산동구 중앙로 지하 1042,"경기도 고양시 일산동구 중앙로 지하 1042 (백석동, 백석역)",N,4,4,1,1,0,1,8,1,1,한국철도공사,,05:00~00:00,,37.6431570600,126.7881678191,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,마두역,,"경기도 고양시 일산동구 지하 1180 (마두동, 마두역)",N,3,4,1,1,0,1,7,1,1,한국철도공사,,05:00~00:00,,,,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,일산동구청 1층 화장실,경기도 고양시 일산동구 중앙로 1256,"경기도 고양시 일산동구 중앙로 1256(마두동), 1층",N,3,4,1,1,0,0,4,1,0,일산동구청 자치행정과,031-8075-6044,24시간,,37.6588678240,126.7749572412,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,일산동구청 2층 화장실-1,경기도 고양시 일산동구 중앙로 1256,"경기도 고양시 일산동구 중앙로 1256(마두동) , 2층",N,2,4,1,0,0,0,4,0,0,일산동구청 자치행정과,031-8075-6044,09시~18시,,37.6588678240,126.7749572412,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,일산동구청 2층 화장실-2,경기도 고양시 일산동구 중앙로 1256,"경기도 고양시 일산동구 중앙로 1256(마두동), 2층 소회의실 앞",N,4,4,0,1,0,0,4,1,0,일산동구청 자치행정과,031-8075-6044,09시~18시,,37.6588678240,126.7749572412,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,농성 근린공원,경기도 평택시 팽성읍 신흥북로49번길 50,경기도 평택시 팽성읍 안정리 78-30,N,3,4,1,1,0,0,3,1,0,평택시 공원과,,24시간,,36.9645636142,127.0450001302,N,N,N,N,N,N,N,N,,2021-12-31
공중화장실,농업기술센터,경기도 평택시 오성면 청오로 33-58,경기도 평택시 오성면 청오로 33-58,N,1,1,1,1,0,0,2,1,0,평택시 농업기술센터,,9시간,,37.0143930396,126.9808207215,N,N,N,N,N,N,N,N,,2021-12-31
공중화장실,일산동구청 4층 화장실,경기도 고양시 일산동구 중앙로 1256,"경기도 고양시 일산동구 중앙로 1256(마두동), 4층",N,3,4,0,0,0,0,4,0,0,일산동구청 자치행정과,031-8075-6044,09시~18시,,37.6588678240,126.7749572412,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,식사동행정복지센터 지하1층 화장실,경기도 고양시 일산동구 위시티2로11번길 22-21,"경기도 고양시 일산동구 위시티2로11번길 22-21 (식사동, 식사동주민센터), 지하1층",N,1,1,0,1,0,0,1,0,0,일산동구 식사동 행정복지센터,031-8075-6709,09시~18시,,37.6773424570,126.8137081946,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,농업기술센터,경기도 평택시 오성면 청오로 33-58,경기도 평택시 오성면 청오로 33-58,N,3,3,1,1,0,1,8,1,0,평택시 농업기술센터,,9시간,,37.0143930396,126.9808207215,N,N,N,N,N,N,N,N,,2021-12-31
공중화장실,농업기술센터,경기도 평택시 오성면 청오로 33-58,경기도 평택시 오성면 청오로 33-58,N,3,2,0,0,0,0,7,0,0,평택시 농업기술센터,,9시간,,37.0143930396,126.9808207215,N,N,N,N,N,N,N,N,,2021-12-31
공중화장실,일산방송COMPLEX,,"경기도 고양시 일산동구 백마로 195 (장항동, 에스케이엠시티오피스텔)",N,24,46,0,0,0,0,41,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6542260855,126.7720435229,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,SK엠시티드라마파크빙상장,,"경기도 고양시 일산동구 백마로 195 (장항동, 에스케이엠시티오피스텔)",N,6,11,0,0,0,0,9,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6542260855,126.7720435229,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,호수공원주유소,경기도 고양시 일산동구 백마로 108,"경기도 고양시 일산동구 백마로 108 (장항동, 호수공원주유소)",N,2,1,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6479025631,126.7653832095,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,호수그린,,"경기도 고양시 일산동구 무궁화로 8-38 (장항동, 호수그린오피스텔)",N,5,6,0,0,0,0,5,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,00:00~00:00,,37.6598178476,126.7667963674,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,우인 2차,,"경기도 고양시 일산동구 무궁화로 7-63 (장항동, 우인아크리움빌II)",N,2,2,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6637976898,126.7647050317,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,성우골프클럽,,"경기도 고양시 일산동구 무궁화로 43-55 (장항동, 성우사카르타워)",N,2,3,0,0,0,0,4,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6644878245,126.7669771954,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,성우사카르타워,,"경기도 고양시 일산동구 무궁화로 43-55 (장항동, 성우사카르타워)",N,16,16,0,0,0,0,32,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6644878245,126.7669771954,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,동하넥서스,,"경기도 고양시 일산동구 무궁화로 43-33 (장항동, 동하넥서스빌)",N,21,21,0,0,0,0,21,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6043,:~:,,37.6646431533,126.7673158136,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,한강세이프빌,,"경기도 고양시 일산동구 무궁화로 43-15 (장항동, 한강세이프빌)",N,6,12,0,0,0,0,10,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6637815970,126.7679138617,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,우림보보카운티 1차,경기도 고양시 일산동구 무궁화로 40,"경기도 고양시 일산동구 무궁화로 40 (장항동, 일산 우림보보카운티1)",N,1,1,0,0,0,0,3,0,0,일산동구 환경녹지과,031-8075-6243,:~:,,37.6628857440,126.7687956805,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,우림보보카운티 2차,,"경기도 고양시 일산동구 무궁화로 32-23 (장항동, 우림보보카운티)",N,2,2,1,0,0,0,2,0,0,일산동구청 환경녹지과,031-8075-6243,00:00~00:00,,37.6618422403,126.7691233739,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,라페스타 쇼핑몰 E,경기도 고양시 일산동구 무궁화로 32-12,"경기도 고양시 일산동구 무궁화로 32-12 (장항동, 라페스타 E)",N,3,3,0,0,0,0,3,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,00:00~00:00,,37.6621060125,126.7680550338,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,엔담프라자,경기도 고양시 일산동구 무궁화로 31-17,"경기도 고양시 일산동구 무궁화로 31-17 (장항동, 엔담프라자)",N,10,14,0,0,0,0,14,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6632258384,126.7669555920,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,이마트(풍산역),경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 무궁화로 237 (중산동),N,14,27,0,0,0,0,24,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,10:00~23:00,,37.6738948112,126.7871031801,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,하임빌 로데오빌딩,,"경기도 고양시 일산동구 무궁화로 20-18 (장항동, 하임빌로데오빌딩)",N,14,15,0,0,0,0,15,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6613171228,126.7672918171,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,한라밀라트A동,,"경기도 고양시 일산동구 무궁화로 17 (장항동, 한라밀라트)",N,2,4,0,0,0,0,5,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6621949394,126.7664101767,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,더불어충전소,경기도 고양시 일산동구 고봉로 672,"경기도 고양시 일산동구 고봉로 672 (성석동, 성석동더불어가스충전소)",N,2,2,0,0,0,0,3,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6043,:~:,,37.7167477805,126.7893023556,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,(주)중산힐스(청소년수련관),경기도 고양시 일산동구 고봉로 467-68,경기도 고양시 일산동구 고봉로 467-68 (성석동),N,9,17,0,0,0,0,14,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.7008161265,126.7780313719,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,(주)중산힐스(골프연습장),경기도 고양시 일산동구 고봉로 467-57,경기도 고양시 일산동구 고봉로 467-57 (성석동),N,12,29,0,0,0,0,23,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.7004702556,126.7789535625,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,라페스타 쇼핑몰 C1,경기도 고양시 일산동구 무궁화로 32-34,"경기도 고양시 일산동구 무궁화로 32-34 (장항동, 라페스타C)",N,3,7,0,0,0,0,5,0,0,일산동구 환경녹지과,031-8075-6243,:~:,,37.6613265499,126.7688109747,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,정안프라자,경기도 고양시 일산동구 고봉로 32-36,"경기도 고양시 일산동구 고봉로 32-36 (장항동, 정안프라자)",N,8,13,0,0,0,0,14,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6635393793,126.7666463819,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,한라밀라트 C동,,"경기도 고양시 일산동구 무궁화로 12 (장항동, 한라밀라트)",N,1,1,0,0,0,0,1,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6614107659,126.7664065560,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,한라밀라트B동,,"경기도 고양시 일산동구 무궁화로 11 (장항동, 한라밀라트)",N,1,1,0,0,0,0,1,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6618944881,126.7659256092,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,백마골프타운,경기도 고양시 일산동구 고풍로43번길 48,경기도 고양시 일산동구 고풍로43번길 48 (풍동),N,12,16,0,0,0,0,17,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6606152712,126.7940894367,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,창일주유소,경기도 고양시 일산동구 고양대로 910,"경기도 고양시 일산동구 고양대로 910 (풍동, 창일주유소)",N,1,2,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6776348180,126.7960261400,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,중산주유소,경기도 고양시 일산동구 고양대로 756,"경기도 고양시 일산동구 고양대로 756 (중산동, 중산주유소)",N,0,2,0,0,0,0,1,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6820797846,126.7798460911,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,제19주유소,경기도 고양시 일산동구 고양대로 1064,"경기도 고양시 일산동구 고양대로 1064 (식사동, 제19주유소)",N,2,2,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6697902672,126.8092308095,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,형진에너지,경기도 고양시 일산동구 고봉로819번길 8,경기도 고양시 일산동구 고봉로819번길 8 (설문동),N,0,0,0,0,0,0,0,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.7263817823,126.7981522226,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,은곡주유소,경기도 고양시 일산동구 고봉로 719,"경기도 고양시 일산동구 고봉로 719 (설문동, 장군주유소)",N,1,2,0,0,0,0,1,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.7210450976,126.7889776293,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,코오롱레이크폴리스3 B동,,"경기도 고양시 일산동구 고봉로 20-32 (장항동, 코오롱레이크폴리스III)",N,3,4,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6627561052,126.7653388910,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,코오롱레이크폴리스3 A동,,"경기도 고양시 일산동구 고봉로 20-26 (장항동, 코오롱레이크폴리스III)",N,3,4,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6631772287,126.7649379116,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,일산빌딩,경기도 고양시 일산동구 경의로 471,"경기도 고양시 일산동구 경의로 471 (정발산동, 일산빌딩)",N,10,16,0,0,0,0,16,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6708320283,126.7858965145,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,현대밀라트 A동,,"경기도 고양시 일산동구 경의로 47 (백석동, 현대밀라트)",N,2,4,0,0,0,0,5,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6397959053,126.7912941901,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,현대밀라트B동,,"경기도 고양시 일산동구 경의로 33 (백석동, 현대밀라트)",N,2,4,0,0,0,0,5,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6391332052,126.7905070824,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,현대밀라트 C동,,"경기도 고양시 일산동구 경의로 19 (백석동, 현대밀라트)",N,2,4,0,0,0,0,5,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6380438286,126.7892140133,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,그린골프랜드,,"경기도 고양시 일산동구 견달산로 69 (식사동, 그린골프랜드)",N,6,11,0,0,0,0,9,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,,,N,N,N,N,N,N,N,N,,2022-04-08
공중화장실,백석배드민턴장,경기도 고양시 일산동구 강석로 15,경기도 고양시 일산동구 강석로 15 (백석동),N,9,17,0,0,0,0,14,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6446743971,126.7871898497,N,N,N,N,N,N,N,N,,2022-04-08
